cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp,impl,N,M,K,items_per_producer,producer_delay_us,consumer_delay_us,wall_time_ms,items_consumed,throughput_per_sec,latency_mean_us,latency_p50_us,latency_p95_us,latency_p99_us,latency_max_us,rep_idx
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 4 --K 1 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,2,0.07,0.17,0.01,257.0,47760,6848,0,322,25,0,64,0,2026-05-14T10:21:47,java-lockfree,1,4,1,10000,0,0,34.151,40000,1171256.77,2.793,0.708,3.125,8.75,5165.957,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 4 --K 2 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,0.07,0.21,0.01,302.0,48132,7091,0,279,41,0,64,0,2026-05-14T10:21:47,java-lockfree,1,4,2,10000,0,0,37.279,40000,1072992.6,2.913,0.875,5.542,19.166,4083.907,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 4 --K 2 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,0.09,0.2,0.02,254.0,46596,6639,0,283,27,0,64,0,2026-05-14T10:21:47,java-lockfree,1,4,2,10000,0,0,39.15,40000,1021711.0,3.441,1.292,5.833,17.209,5057.123,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 4 --K 2 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,2,0.07,0.21,0.01,291.0,48272,7137,0,295,38,0,64,0,2026-05-14T10:21:47,java-lockfree,1,4,2,10000,0,0,35.383,40000,1130474.92,2.787,1.0,4.917,12.125,3975.24,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 4 --K 4 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,0.08,0.25,0.02,311.0,48388,7105,0,274,59,0,64,0,2026-05-14T10:21:47,java-lockfree,1,4,4,10000,0,0,44.219,40000,904595.97,3.761,1.084,4.333,11.917,6072.297,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 4 --K 4 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,0.13,0.37,0.07,326.0,47504,6850,0,355,72,0,64,0,2026-05-14T10:21:47,java-lockfree,1,4,4,10000,0,0,67.09,40000,596210.5,8.203,0.667,3.917,14.792,23751.352,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 4 --K 4 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,2,0.1,0.3,0.02,322.0,48528,7169,0,283,74,0,64,0,2026-05-14T10:21:47,java-lockfree,1,4,4,10000,0,0,50.965,40000,784850.09,4.643,1.209,9.833,21.625,9162.572,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 4 --K 8 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,0.09,0.27,0.02,311.0,47372,6730,0,425,95,0,64,0,2026-05-14T10:21:47,java-lockfree,1,4,8,10000,0,0,47.101,40000,849232.23,3.343,0.958,4.125,8.125,8129.98,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 4 --K 8 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,0.1,0.36,0.02,369.0,48208,7007,0,385,150,0,64,0,2026-05-14T10:21:47,java-lockfree,1,4,8,10000,0,0,63.433,40000,630582.93,5.622,1.25,5.667,16.125,10205.288,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 4 --K 8 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,2,0.1,0.33,0.02,353.0,49416,7342,0,363,122,0,64,0,2026-05-14T10:21:48,java-lockfree,1,4,8,10000,0,0,56.515,40000,707777.44,5.28,1.541,5.0,12.833,10143.829,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 8 --K 1 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,0.15,0.53,0.02,349.0,51792,8041,0,374,118,0,64,0,2026-05-14T10:21:48,java-lockfree,1,8,1,10000,0,0,90.641,80000,882603.62,8.116,0.959,5.5,13.834,38782.469,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 8 --K 1 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,0.13,0.48,0.02,386.0,51860,7936,0,351,126,0,64,0,2026-05-14T10:21:48,java-lockfree,1,8,1,10000,0,0,81.933,80000,976404.41,7.397,0.833,4.416,9.792,57671.076,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 8 --K 1 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,2,0.1,0.37,0.02,359.0,51676,8056,0,299,82,0,64,0,2026-05-14T10:21:48,java-lockfree,1,8,1,10000,0,0,65.972,80000,1212626.97,5.475,0.791,4.458,11.042,25386.614,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 8 --K 2 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,0.12,0.48,0.02,388.0,51584,8032,0,369,148,0,64,0,2026-05-14T10:21:48,java-lockfree,1,8,2,10000,0,0,82.941,80000,964544.19,7.246,0.834,5.416,14.417,16394.628,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 8 --K 2 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,0.12,0.45,0.02,382.0,52092,8112,0,367,129,0,64,0,2026-05-14T10:21:48,java-lockfree,1,8,2,10000,0,0,77.519,80000,1031999.23,6.77,1.083,5.208,11.958,19278.275,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 8 --K 2 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,2,0.14,0.45,0.02,339.0,51856,8121,0,393,132,0,64,0,2026-05-14T10:21:48,java-lockfree,1,8,2,10000,0,0,88.368,80000,905303.14,6.441,0.833,4.834,14.708,16348.294,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 8 --K 4 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,0.12,0.45,0.03,375.0,52104,8138,0,395,145,0,64,0,2026-05-14T10:21:48,java-lockfree,1,8,4,10000,0,0,79.116,80000,1011167.17,6.182,0.958,4.917,10.958,21118.165,0
